               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.036482,            0.034482,           0.0010427,             0.44705,             0.39549,              0.3615,             0.17644,            0.069634,            0.051826,           0.0065497,            0.001222,            0.001222,            0.001222
                 135,            0.035108,            0.036936,           0.0011795,             0.36832,             0.41988,             0.35695,             0.17508,            0.069831,            0.050801,           0.0065227,            0.001156,            0.001156,            0.001156
                 136,            0.036077,            0.030976,           0.0012443,             0.55522,             0.34747,             0.37426,             0.18521,            0.070904,            0.050633,           0.0058307,             0.00109,             0.00109,             0.00109
                 137,            0.034772,            0.029828,           0.0012443,             0.62316,             0.32879,             0.36495,             0.18001,             0.07185,            0.050569,           0.0054168,            0.001024,            0.001024,            0.001024
                 138,            0.033382,            0.033342,           0.0013534,             0.59417,             0.33538,             0.36574,             0.18088,            0.071216,            0.050414,           0.0052218,            0.000958,            0.000958,            0.000958
                 139,            0.031677,            0.027622,           0.0013318,             0.55019,             0.35847,              0.3725,             0.18741,            0.070064,            0.049718,           0.0053698,            0.000892,            0.000892,            0.000892
                 140,            0.035341,            0.033215,           0.0011397,             0.47072,             0.38831,             0.37169,              0.1887,            0.069172,             0.04926,           0.0055526,            0.000826,            0.000826,            0.000826
                 141,            0.034377,            0.027663,           0.0012632,             0.40499,              0.4146,             0.36879,             0.19055,            0.068733,            0.048683,           0.0055291,             0.00076,             0.00076,             0.00076
                 142,            0.036937,            0.035048,          0.00077747,             0.45279,             0.38978,             0.37244,             0.19153,            0.069227,            0.049496,            0.005298,            0.000694,            0.000694,            0.000694
                 143,            0.037573,            0.036009,          0.00077361,             0.47152,             0.36861,             0.38838,             0.19626,            0.070667,            0.050962,           0.0050855,            0.000628,            0.000628,            0.000628
                 144,            0.034637,            0.029858,           0.0010405,             0.73731,              0.2665,             0.39104,             0.19766,            0.071526,             0.05153,           0.0052755,            0.000562,            0.000562,            0.000562
                 145,            0.036532,             0.03301,           0.0011621,             0.76923,             0.26954,             0.39191,             0.20086,            0.071761,             0.05162,           0.0051332,            0.000496,            0.000496,            0.000496
                 146,            0.037853,            0.035206,           0.0010164,             0.77296,             0.26651,             0.38868,             0.20059,             0.07165,            0.051845,           0.0054512,             0.00043,             0.00043,             0.00043
                 147,            0.034367,            0.029011,           0.0011798,             0.77138,              0.2637,             0.39291,             0.20056,            0.071539,            0.051504,           0.0054046,            0.000364,            0.000364,            0.000364
                 148,            0.040488,            0.034589,          0.00080801,              0.7967,             0.26174,             0.39301,             0.19884,            0.071493,             0.05171,           0.0053557,            0.000298,            0.000298,            0.000298
                 149,            0.034865,            0.030961,           0.0010957,             0.79821,             0.25697,             0.39378,             0.19564,            0.071141,            0.051626,           0.0052214,            0.000232,            0.000232,            0.000232
